climate,inequality,human rights,gender,lgbtq,european union,immigration,health,misinformation,hate speech
21,41,44,58,44,32,51,53,73,41
49,51,55,16,64,53,56,55,47,40
49,70,55,20,44,41,47,57,38,40
49,41,44,58,80,62,25,50,45,42
21,22,14,27,38,48,76,55,31,33
88,41,44,40,80,53,68,55,38,37
68,51,55,44,44,47,76,40,47,49
51,60,38,20,74,37,47,49,40,40
49,39,55,16,44,48,30,49,40,48
21,36,14,16,44,41,48,22,47,50
51,51,38,40,80,42,41,41,62,51
49,55,58,60,74,44,40,53,38,44
21,51,44,53,80,44,27,29,71,37
21,55,44,53,44,53,40,71,55,49
68,37,44,54,28,42,58,60,37,51
74,55,58,27,80,44,30,60,41,27
66,41,44,54,38,53,76,50,71,48
49,51,38,20,64,53,48,51,41,51
49,19,44,54,44,53,40,54,31,44
21,22,14,54,44,44,41,71,40,51
51,41,55,19,44,62,37,64,38,50
68,55,14,40,38,62,48,33,34,44
21,55,44,54,44,62,53,50,42,51
51,51,55,40,44,53,37,40,34,49
21,66,37,83,28,47,27,29,45,48
66,51,58,19,28,41,48,41,42,49
21,51,58,44,80,53,40,72,51,76
21,36,37,54,44,53,40,57,36,74
21,55,55,64,28,62,56,48,38,70
49,19,44,16,38,53,53,81,80,49
51,51,55,40,44,62,53,50,57,34
66,36,44,67,38,62,53,53,51,39
51,51,38,19,80,53,53,47,34,51
71,55,37,27,64,48,68,35,31,51
21,41,44,70,44,48,41,36,42,25
49,55,38,54,74,62,58,50,57,49
21,51,55,58,44,53,47,48,33,48
51,55,55,40,44,41,56,41,52,25
21,51,44,58,44,53,40,53,31,51
21,19,58,54,44,48,37,59,50,48
66,22,58,44,44,62,48,34,34,87
51,51,44,66,28,42,57,81,40,70
21,19,44,54,38,53,47,29,47,87
73,51,37,53,44,62,48,36,58,44
68,39,58,54,74,44,37,55,69,48
70,51,58,69,80,62,51,44,59,69
49,36,37,58,28,62,53,29,40,36
51,41,58,54,28,25,37,48,47,40
70,55,44,53,44,48,27,45,55,48
51,55,55,58,38,42,56,54,42,84
49,22,44,58,28,53,76,49,51,62
51,55,44,60,80,25,53,44,40,84
21,60,44,69,80,53,76,46,59,38
49,41,38,27,44,53,51,55,50,76
74,55,44,20,74,47,68,38,40,42
73,55,58,51,38,41,68,53,55,51
49,41,55,40,64,37,30,55,34,33
49,80,58,83,80,37,40,85,48,70
88,70,58,58,38,44,57,53,42,49
49,41,38,20,44,41,48,41,56,42
71,41,14,16,44,32,68,68,33,81
21,19,38,16,44,48,57,43,45,49
88,37,37,58,74,47,68,44,42,77
51,55,44,40,38,41,27,59,58,42
49,55,14,58,74,41,48,54,76,43
51,41,14,83,80,32,27,34,40,42
21,83,58,67,44,62,56,54,42,38
21,19,14,58,38,62,37,53,67,79
49,51,38,44,74,44,41,59,55,50
51,51,44,44,64,53,51,38,70,38
51,41,58,58,28,44,27,59,41,48
21,37,58,58,44,53,40,43,47,50
21,41,55,58,74,48,40,85,40,48
21,51,37,58,44,48,76,64,72,51
49,41,55,58,64,62,56,68,38,82
49,70,44,19,74,62,68,48,48,51
21,55,55,58,64,32,47,44,70,51
21,70,44,44,28,44,53,59,46,42
49,66,58,40,28,48,40,47,41,51
49,41,38,16,44,35,47,55,55,49
51,39,44,58,44,44,68,85,46,35
49,51,38,66,38,53,68,60,22,40
68,51,55,51,38,41,41,53,47,50
21,66,58,40,44,62,47,64,52,33
21,51,37,40,28,53,40,27,47,42
49,55,14,58,28,35,51,59,51,49
74,55,55,40,74,42,51,60,34,83
49,41,55,40,38,62,47,44,64,35
49,55,58,40,44,35,48,45,57,40
74,41,44,40,44,41,40,53,36,51
49,55,14,53,80,42,53,53,71,44
51,19,58,19,44,53,40,55,61,49
21,80,37,51,44,53,40,53,59,74
21,41,44,53,44,41,58,36,67,49
21,51,55,58,28,48,25,38,38,82
49,51,44,40,74,62,37,43,46,74
88,51,55,66,44,53,51,72,57,49
68,36,44,67,38,47,47,49,31,25
21,22,37,40,74,53,53,55,40,44
51,55,55,66,64,53,56,55,34,42
21,60,58,58,64,42,68,41,40,51
51,51,44,16,74,41,41,57,38,49
66,55,37,60,44,37,53,43,38,51
21,83,44,27,28,37,41,67,54,43
21,80,37,20,74,53,56,38,38,33
51,19,44,58,28,48,68,55,42,44
51,60,58,40,74,41,68,57,42,51
49,51,58,53,64,62,76,47,50,37
51,55,38,40,44,42,53,47,40,42
21,41,37,80,44,48,48,41,47,44
51,80,14,40,74,25,56,43,40,48
71,41,14,58,74,53,57,55,40,37
51,51,14,53,64,53,41,55,57,36
49,55,37,51,44,53,41,55,50,36
70,60,44,40,44,32,68,54,63,77
51,66,37,20,64,53,25,22,57,49
69,36,55,40,38,42,30,48,47,51
51,51,44,27,64,35,58,22,62,76
51,51,44,66,38,53,47,68,38,51
51,19,44,16,44,62,40,53,55,38
51,55,37,20,38,53,58,49,57,44
21,41,44,80,28,48,58,50,48,35
21,36,44,58,28,25,25,85,41,44
66,41,44,58,28,62,53,40,45,42
71,51,44,44,64,48,51,36,47,90
66,55,38,40,44,37,57,55,42,69
49,41,37,44,28,62,53,64,52,38
21,51,58,16,28,41,57,85,47,42
49,37,44,27,44,53,48,73,48,44
49,41,58,54,74,62,41,55,46,50
49,66,44,40,38,62,25,68,51,90
69,66,55,54,74,62,51,48,50,51
21,19,38,53,44,53,25,55,57,48
70,51,55,58,44,62,68,73,76,48
51,19,44,58,74,37,53,60,69,49
21,83,38,58,74,41,41,57,34,38
51,55,44,66,74,47,41,33,56,44
21,39,44,19,80,42,37,44,42,51
69,83,55,60,38,32,76,43,51,36
71,51,44,19,80,37,56,60,38,62
69,22,37,40,28,48,56,49,31,44
21,51,44,20,64,62,76,48,34,42
21,41,44,66,28,53,27,46,57,43
21,51,58,54,64,37,48,53,57,38
49,80,14,58,28,53,68,46,80,90
21,41,58,20,28,42,53,51,46,49
69,55,44,20,80,47,53,39,57,37
21,51,37,53,38,62,48,60,50,48
21,39,14,66,64,48,25,50,62,49
51,55,58,54,44,32,41,43,47,50
69,80,37,58,44,48,40,57,50,44
21,80,55,60,80,25,41,43,57,35
21,19,37,53,80,37,40,53,34,79
88,66,55,54,38,42,27,41,47,37
49,41,44,53,38,48,57,50,69,44
21,51,58,16,44,41,25,29,51,25
88,41,44,19,44,62,40,49,34,49
73,51,44,69,64,25,57,53,46,41
49,80,58,19,28,62,76,44,36,50
51,37,58,58,28,42,68,48,55,33
51,51,44,27,80,32,37,50,42,51
51,51,44,19,44,32,76,22,61,82
49,51,44,40,44,32,68,53,67,51
74,55,38,69,44,42,57,73,69,25
49,51,44,58,44,62,68,55,40,49
21,41,55,16,44,47,68,49,47,79
51,22,44,54,80,44,51,53,45,62
73,22,58,16,80,42,51,36,40,38
66,55,58,40,44,44,76,55,50,41
51,51,58,58,44,48,51,41,40,35
88,41,37,27,28,37,51,44,57,43
71,80,58,58,44,53,68,38,42,51
51,41,55,51,28,53,53,59,47,51
49,36,37,20,44,35,51,50,40,40
21,41,38,51,64,37,40,85,58,36
49,41,44,20,28,48,57,60,38,34
51,60,55,19,28,62,30,64,38,90
49,51,38,40,74,42,53,54,72,51
49,55,38,44,28,32,47,44,57,36
49,60,55,58,38,62,48,55,51,49
51,22,58,20,44,41,57,64,59,50
49,19,14,54,80,47,58,59,51,51
66,37,38,27,44,48,41,54,57,87
88,83,37,60,44,53,48,49,38,50
51,70,38,19,74,35,37,41,50,35
74,55,14,69,44,32,51,48,36,83
21,36,55,16,44,48,40,60,40,49
49,70,44,60,64,48,76,55,47,49
51,83,14,40,64,53,47,51,47,40
49,51,44,69,74,62,51,55,57,30
21,55,14,20,44,53,48,43,63,48
51,41,55,19,44,47,53,35,47,48
51,41,55,67,74,48,58,59,67,49
21,55,44,40,64,41,48,55,47,49
49,51,44,58,44,53,48,90,57,38
49,80,44,16,44,47,56,36,47,33
49,80,37,40,38,41,68,41,47,38
69,51,44,67,64,42,47,44,52,42
49,41,55,80,44,53,57,49,46,50
51,41,55,40,28,53,40,53,72,51
73,55,44,53,80,44,37,55,59,49
71,55,44,66,38,42,47,22,69,38
49,41,44,53,80,53,57,90,40,48
51,83,37,27,64,62,57,46,59,79
51,51,37,40,28,53,41,53,51,42
66,66,37,54,44,53,58,41,57,84
21,83,44,40,38,25,68,64,47,49
51,55,44,40,44,42,76,34,34,27
21,41,44,19,28,48,68,57,50,42
74,51,55,58,74,53,25,22,41,84
71,83,44,44,28,42,76,53,36,70
21,55,37,60,44,48,51,55,47,49
71,51,37,62,38,62,41,50,55,82
21,66,44,53,28,47,51,45,61,51
51,80,38,54,74,35,58,49,46,48
51,60,14,16,28,41,37,81,38,44
71,41,44,44,44,62,25,50,38,83
51,41,44,20,38,53,48,48,47,81
21,37,37,40,64,62,41,53,38,51
21,41,44,58,44,53,56,41,47,43
66,37,14,51,74,47,48,57,51,50
21,51,14,40,38,53,47,60,57,43
49,60,44,54,38,42,53,72,47,37
51,51,37,19,44,41,57,85,51,38
51,41,58,27,80,47,47,59,33,82
51,41,55,51,80,53,25,41,50,32
49,55,44,27,38,48,57,51,54,42
51,41,37,54,80,44,76,67,67,51
49,51,55,53,28,42,76,55,59,62
21,51,38,51,64,48,68,22,48,48
49,70,44,44,64,62,41,38,41,38
21,60,38,44,44,53,56,36,57,49
49,83,37,58,44,41,57,48,40,49
51,41,44,66,44,53,48,40,56,51
51,39,44,19,28,53,48,72,62,51
21,51,55,44,80,32,53,81,34,51
51,22,58,58,80,44,47,54,71,44
51,22,44,53,44,53,41,48,50,38
49,39,55,62,44,41,68,55,62,51
66,55,37,58,74,42,30,48,38,50
69,83,55,62,74,47,25,53,76,87
21,37,44,44,44,48,48,49,36,41
51,41,38,40,38,53,30,41,49,42
51,36,38,58,38,48,68,59,50,42
21,19,58,58,74,48,58,30,37,51
49,80,37,54,28,62,41,45,51,49
51,51,58,51,28,35,58,47,40,48
49,55,38,53,44,37,57,85,66,35
21,55,37,62,44,48,41,55,62,51
51,51,55,58,38,41,76,43,38,38
21,55,38,44,28,35,48,50,46,35
49,55,44,58,64,48,47,46,36,50
49,55,55,44,74,42,68,36,42,50
51,39,37,20,44,53,41,45,50,49
88,51,14,83,80,62,48,55,50,84
51,36,37,54,44,62,48,47,57,74
73,41,58,54,28,44,58,35,48,36
51,19,55,54,44,62,41,59,67,51
49,41,58,58,80,48,51,36,51,40
21,60,38,54,38,53,40,44,59,51
21,39,37,53,38,62,56,33,57,48
71,39,14,66,74,37,30,41,50,50
68,19,14,58,74,53,56,55,40,51
21,39,58,53,64,47,41,49,50,49
51,39,58,58,38,62,56,43,31,37
21,22,44,64,74,48,51,40,83,51
68,70,38,54,80,37,51,36,31,44
49,83,55,58,28,48,51,39,54,79
66,36,55,54,44,48,37,53,50,48
49,51,58,27,28,62,57,44,38,50
21,41,55,67,28,41,68,48,34,37
21,51,55,44,74,53,37,60,52,34
51,51,44,58,74,48,76,81,47,48
21,37,55,40,44,53,41,50,42,42
88,41,58,16,28,62,68,44,47,49
49,55,44,20,44,62,41,72,56,49
49,55,58,54,28,48,53,60,46,90
21,80,37,54,38,32,30,39,40,38
21,37,58,40,28,62,57,50,45,30
68,41,44,40,28,53,76,53,41,42
21,41,44,54,74,44,57,60,52,74
49,51,44,66,44,41,41,68,48,48
21,55,44,54,44,48,51,49,49,38
49,55,44,20,28,53,40,90,41,84
51,83,58,62,44,62,40,55,72,51
49,66,44,67,44,41,47,36,45,90
51,80,38,60,44,42,58,59,62,49
70,55,44,70,80,48,53,81,45,42
51,51,44,58,44,53,53,81,36,49
21,55,58,40,28,47,58,55,52,44
69,51,58,54,44,44,41,53,46,42
21,39,58,40,64,53,56,37,54,48
49,37,38,62,38,42,68,57,59,36
21,51,58,19,80,35,68,46,42,44
21,41,37,54,38,53,47,43,48,69
49,51,44,51,80,32,51,48,51,42
51,60,44,80,38,62,58,29,57,51
49,70,44,54,38,53,56,50,48,30
51,55,38,58,74,48,40,50,38,51
51,55,44,69,44,44,48,68,42,44
51,51,37,40,38,44,47,59,50,50
51,55,44,58,28,42,37,49,34,51
51,70,44,19,44,37,37,54,55,70
21,51,44,54,44,48,48,44,38,48
21,41,14,44,80,53,68,30,57,49
21,41,55,58,44,32,47,49,63,51
51,55,38,58,44,53,57,49,55,51
21,60,44,58,38,41,40,55,62,42
21,55,44,40,44,42,58,59,45,34
49,51,14,66,44,62,41,30,51,48
49,39,14,58,28,53,58,43,42,49
21,41,37,19,64,44,68,36,55,48
88,55,44,27,64,48,68,54,40,49
21,66,38,40,64,62,40,45,69,74
51,60,44,40,44,53,48,38,50,51
21,66,44,27,28,48,47,50,50,34
51,60,44,16,44,62,30,50,51,87
21,66,44,40,44,62,76,27,57,48
49,41,38,40,44,35,57,51,55,36
88,37,37,40,38,48,40,47,34,87
49,55,55,66,38,42,68,57,57,49
21,66,14,51,28,53,47,49,59,38
66,83,44,54,44,53,40,50,42,90
68,80,55,60,28,48,48,60,40,41
49,51,37,51,44,47,48,57,58,44
51,83,14,16,38,62,76,68,61,69
49,51,38,54,74,53,47,53,38,44
68,55,37,66,80,35,47,37,39,51
51,51,58,58,64,62,53,48,46,51
51,36,55,58,64,42,56,59,37,49
51,70,37,58,38,37,57,50,33,81
51,36,55,58,28,53,40,38,34,82
88,41,58,58,28,48,56,90,51,44
49,22,44,40,38,25,68,44,41,81
51,41,37,58,74,62,30,59,63,69
51,51,44,40,38,44,41,47,34,49
88,55,58,40,38,62,51,50,42,49
51,41,44,67,44,48,76,68,51,62
21,41,37,54,38,25,30,35,59,87
70,51,44,40,44,53,25,30,47,76
73,41,55,83,38,41,48,55,40,84
49,60,58,64,80,48,48,43,40,48
74,55,44,16,44,48,47,81,47,84
21,70,58,58,44,53,48,55,47,50
21,55,44,66,44,47,30,43,40,51
49,41,44,54,28,53,40,45,50,43
21,66,44,58,28,42,41,48,52,79
21,41,14,20,44,44,47,81,33,41
49,39,44,40,80,62,27,49,51,62
49,55,58,54,44,53,37,72,83,49
51,41,55,40,74,53,40,57,45,51
51,66,44,53,64,62,57,59,46,33
21,41,44,58,80,35,47,43,57,74
49,55,44,51,80,41,40,57,71,41
49,36,44,58,44,48,57,38,40,48
51,55,44,44,74,32,48,54,54,27
51,55,55,54,64,42,41,22,51,33
73,41,44,20,44,32,57,49,57,25
51,55,55,54,44,53,25,22,38,42
51,70,44,20,28,42,68,48,39,49
51,51,37,51,64,37,47,51,50,51
74,55,38,58,44,62,41,53,57,37
21,41,38,27,64,62,56,40,50,49
49,37,14,70,28,44,76,53,41,41
70,51,38,66,28,53,53,45,47,90
51,51,44,40,44,25,76,38,72,37
21,55,38,44,74,42,76,55,42,49
51,51,38,44,44,47,40,59,42,51
21,19,37,58,44,62,30,30,69,51
51,41,58,40,38,42,76,55,57,49
70,66,55,16,28,53,68,71,42,51
51,41,44,66,38,53,47,73,47,51
21,55,44,66,64,62,48,44,41,37
21,51,55,83,64,47,76,54,34,79
68,55,55,58,44,53,48,44,38,44
74,80,37,27,64,62,27,38,54,35
69,55,44,19,38,62,58,55,56,82
49,55,44,19,44,42,51,37,58,48
51,51,58,70,28,53,76,41,37,34
66,41,44,40,28,62,48,55,38,27
21,70,44,44,28,62,41,48,67,51
71,41,14,58,44,62,40,44,38,38
51,55,58,20,28,25,76,71,55,43
21,51,55,54,74,53,30,55,59,49
51,19,44,51,80,53,25,50,69,50
21,55,44,54,28,47,53,53,72,50
66,55,44,58,80,41,53,60,71,48
49,55,37,40,44,44,51,55,80,42
51,22,14,58,44,53,57,27,58,34
49,41,58,58,74,53,27,53,51,42
51,41,58,40,64,47,40,41,51,49
21,41,14,80,38,48,41,43,34,34
51,37,55,66,74,47,27,41,42,49
49,70,44,58,44,62,76,55,41,49
21,55,44,53,44,35,40,53,36,36
51,83,44,44,44,41,76,36,42,35
51,66,55,27,80,62,48,43,47,49
51,41,44,62,74,44,47,48,57,51
51,51,58,58,44,53,40,49,69,76
51,80,14,16,74,48,25,45,50,42
51,51,14,83,38,48,40,60,37,40
68,22,38,40,44,47,57,55,59,83
49,55,44,54,80,41,25,53,38,44
49,36,14,16,44,42,40,57,34,34
66,51,44,66,28,42,47,45,47,36
49,60,44,58,74,41,25,27,42,49
21,60,14,16,44,44,76,90,47,83
51,41,37,19,44,62,47,44,59,34
66,41,55,60,38,25,25,47,36,83
66,55,55,44,44,53,48,22,40,35
68,80,44,16,44,42,37,29,47,36
49,22,55,64,44,41,37,60,62,51
21,36,44,27,44,53,27,46,50,79
49,22,38,58,80,62,58,48,58,32
49,36,55,54,44,35,37,60,40,38
51,55,37,62,64,62,57,72,48,49
69,36,14,66,44,53,68,73,57,84
66,37,44,83,38,48,25,57,51,69
21,51,58,54,38,47,40,53,58,42
